property_place_id,nearby_place_id,name,address,place_type,rating,user_ratings_total
ChIJeTgM-pk7GJYRS1L7Mhr0EfU,ChIJLTfWPgA7GJYRKzMMGWiHNCA,El Antojo,"Avenida Presidente Ibáñez, Volcán Choshuenco &, Puerto Montt",restaurant,5.0,1.0
ChIJeTgM-pk7GJYRS1L7Mhr0EfU,ChIJe30zZZQ7GJYRhg-lOUJ0icU,Kaimy Sushi,"Volcán Osorno Mirasol, Puerto Montt",restaurant,,
ChIJeTgM-pk7GJYRS1L7Mhr0EfU,ChIJKRbspJA7GJYRbReo6xxnD7U,El Chef,"Avenida Los Notros 750, Puerto Montt, Puerto Montt",restaurant,4.4,343.0
ChIJeTgM-pk7GJYRS1L7Mhr0EfU,ChIJg0sxbJc7GJYRaVVJjyQ8uKM,Soto Rivera Oscar Mauricio,"Avenida Los Notros 502, Puerto Montt, Puerto Montt",restaurant,3.5,4.0
ChIJeTgM-pk7GJYRS1L7Mhr0EfU,ChIJ_R4wnD47GJYRUqd45YDabZs,Bon Appétit II / VEG UP,Puerto Montt,restaurant,4.3,9.0
ChIJeTgM-pk7GJYRS1L7Mhr0EfU,ChIJl_moP547GJYRQl0opPay-Q4,Ottawa Sushi&Pichangas,"Avenida Los Notros 771, local 4, Puerto Montt, Puerto Montt",restaurant,4.3,19.0
ChIJeTgM-pk7GJYRS1L7Mhr0EfU,ChIJZfWQlZA7GJYR8wcwI6KoXW0,Soto Ferrada Reinaldo,"Volcán Hudson 800, Puerto Montt, Puerto Montt",restaurant,4.0,4.0
ChIJeTgM-pk7GJYRS1L7Mhr0EfU,ChIJ687ShJA7GJYR_iPiTYvg-po,Macarena Elizabeth Uribe Saez,"Avenida Los Notros 896, Puerto Montt, Puerto Montt",restaurant,5.0,1.0
ChIJeTgM-pk7GJYRS1L7Mhr0EfU,ChIJG1_sgDc7GJYRp9T7nvnl1-w,La supremeria,"Volcán Corcovado 2290, Puerto Montt",restaurant,,
ChIJeTgM-pk7GJYRS1L7Mhr0EfU,ChIJ2QZ3kMQ7GJYR390wMA2dkfA,Sandwicheria Altcor,"Volcán Apagado 840, Puerto Montt, Puerto Montt",restaurant,4.6,33.0
ChIJeTgM-pk7GJYRS1L7Mhr0EfU,ChIJuQB0yDo7GJYRgwb98HadSNo,Tomy's Sandwich Puerto Montt,"Janequeo 1071, Puerto Montt",restaurant,5.0,4.0
ChIJeTgM-pk7GJYRS1L7Mhr0EfU,ChIJ55MsTwA7GJYRJZ0ZKre2nCk,Apicio Puerto Montt,"Pasaje Puerto Chacabuco 994, Puerto Montt",restaurant,,
